x,y
-19.90679906799068,-396.2806491333546
-19.90639906399064,-396.2647236948475
-19.9059990599906,-396.2487985763466
-19.90559905599056,-396.23287377785226
-19.905199051990518,-396.2169492993642
-19.90479904799048,-396.20102514088273
-19.90439904399044,-396.1851013024076
-19.9039990399904,-396.1691777839387
-19.90359903599036,-396.1532545854764
-19.90319903199032,-396.13733170702034
-19.90279902799028,-396.1214091485708
-19.902399023990238,-396.1054869101276
-19.9019990199902,-396.08956499169085
-19.90159901599016,-396.07364339326057
-19.90119901199012,-396.0577221148365
-19.90079900799008,-396.04180115641896
-19.90039900399004,-396.02588051800774
-19.89999899999,-396.00996019960303
-19.899598995989958,-395.99404020120454
-19.89919899198992,-395.9781205228126
-19.89879898798988,-395.96220116442714
-19.89839898398984,-395.9462821260479
-19.8979989799898,-395.93036340767515
-19.89759897598976,-395.9144450093087
-19.89719897198972,-395.8985269309488
-19.896798967989678,-395.8826091725951
-19.89639896398964,-395.86669173424804
-19.8959989599896,-395.8507746159073
-19.89559895598956,-395.8348578175728
-19.89519895198952,-395.81894133924493
-19.89479894798948,-395.80302518092327
-19.89439894398944,-395.7871093426082
-19.893998939989398,-395.7711938242993
-19.89359893598936,-395.755278625997
-19.89319893198932,-395.7393637477011
-19.89279892798928,-395.72344918941144
-19.89239892398924,-395.7075349511283
-19.8919989199892,-395.69162103285146
-19.89159891598916,-395.6757074345811
-19.891198911989118,-395.6597941563171
-19.89079890798908,-395.64388119805955
-19.89039890398904,-395.62796855980844
-19.889998899989,-395.6120562415636
-19.88959889598896,-395.5961442433253
-19.88919889198892,-395.58023256509324
-19.88879888798888,-395.5643212068677
-19.888398883988838,-395.54841016864845
-19.8879988799888,-395.53249945043575
-19.88759887598876,-395.51658905222945
-19.88719887198872,-395.50067897402937
-19.88679886798868,-395.48476921583585
-19.88639886398864,-395.4688597776486
-19.8859988599886,-395.4529506594679
-19.885598855988558,-395.43704186129344
-19.88519885198852,-395.42113338312555
-19.88479884798848,-395.40522522496406
-19.88439884398844,-395.3893173868088
-19.8839988399884,-395.3734098686601
-19.88359883598836,-395.3575026705176
-19.88319883198832,-395.3415957923817
-19.882798827988278,-395.325689234252
-19.88239882398824,-395.30978299612894
-19.8819988199882,-395.2938770780122
-19.88159881598816,-395.2779714799018
-19.88119881198812,-395.26206620179784
-19.88079880798808,-395.2461612437002
-19.88039880398804,-395.2302566056091
-19.879998799987998,-395.21435228752426
-19.87959879598796,-395.19844828944593
-19.87919879198792,-395.182544611374
-19.87879878798788,-395.1666412533084
-19.87839878398784,-395.15073821524925
-19.8779987799878,-395.13483549719643
-19.87759877598776,-395.1189330991501
-19.877198771987718,-395.10303102111004
-19.87679876798768,-395.0871292630765
-19.87639876398764,-395.07122782504945
-19.8759987599876,-395.0553267070286
-19.87559875598756,-395.03942590901426
-19.87519875198752,-395.0235254310062
-19.87479874798748,-395.0076252730047
-19.874398743987438,-394.99172543500947
-19.8739987399874,-394.97582591702076
-19.87359873598736,-394.95992671903844
-19.87319873198732,-394.9440278410624
-19.87279872798728,-394.92812928309286
-19.87239872398724,-394.9122310451296
-19.8719987199872,-394.8963331271729
-19.87159871598716,-394.8804355292226
-19.87119871198712,-394.8645382512786
-19.87079870798708,-394.8486412933411
-19.87039870398704,-394.8327446554098
-19.869998699987,-394.8168483374851
-19.86959869598696,-394.80095233956666
-19.86919869198692,-394.7850566616547
-19.86879868798688,-394.76916130374923
-19.86839868398684,-394.75326626584996
-19.8679986799868,-394.73737154795725
-19.86759867598676,-394.7214771500708
-19.86719867198672,-394.7055830721909
-19.86679866798668,-394.68968931431726
-19.86639866398664,-394.6737958764502
-19.8659986599866,-394.65790275858944
-19.86559865598656,-394.642009960735
-19.86519865198652,-394.6261174828871
-19.86479864798648,-394.61022532504546
-19.86439864398644,-394.59433348721035
-19.8639986399864,-394.5784419693815
-19.86359863598636,-394.5625507715592
-19.86319863198632,-394.54665989374325
-19.86279862798628,-394.53076933593366
-19.86239862398624,-394.5148790981305
-19.8619986199862,-394.4989891803337
-19.86159861598616,-394.4830995825434
-19.86119861198612,-394.4672103047593
-19.86079860798608,-394.45132134698184
-19.86039860398604,-394.4354327092107
-19.859998599986,-394.41954439144587
-19.85959859598596,-394.4036563936876
-19.85919859198592,-394.3877687159355
-19.85879858798588,-394.37188135819
-19.85839858398584,-394.35599432045075
-19.8579985799858,-394.34010760271804
-19.85759857598576,-394.3242212049918
-19.85719857198572,-394.3083351272717
-19.85679856798568,-394.2924493695582
-19.85639856398564,-394.27656393185094
-19.8559985599856,-394.26067881415025
-19.85559855598556,-394.2447940164558
-19.85519855198552,-394.2289095387679
-19.85479854798548,-394.21302538108637
-19.85439854398544,-394.19714154341113
-19.8539985399854,-394.18125802574247
-19.85359853598536,-394.16537482808
-19.85319853198532,-394.1494919504241
-19.85279852798528,-394.1336093927744
-19.85239852398524,-394.1177271551313
-19.8519985199852,-394.1018452374946
-19.85159851598516,-394.0859636398642
-19.85119851198512,-394.07008236224027
-19.85079850798508,-394.05420140462263
-19.85039850398504,-394.03832076701156
-19.849998499985,-394.0224404494067
-19.84959849598496,-394.0065604518084
-19.84919849198492,-393.99068077421646
-19.84879848798488,-393.97480141663084
-19.84839848398484,-393.9589223790517
-19.8479984799848,-393.9430436614789
-19.84759847598476,-393.92716526391257
-19.84719847198472,-393.9112871863525
-19.84679846798468,-393.89540942879904
-19.84639846398464,-393.87953199125195
-19.8459984599846,-393.8636548737111
-19.84559845598456,-393.8477780761768
-19.84519845198452,-393.83190159864876
-19.84479844798448,-393.81602544112724
-19.84439844398444,-393.800149603612
-19.8439984399844,-393.7842740861033
-19.84359843598436,-393.768398888601
-19.84319843198432,-393.752524011105
-19.84279842798428,-393.7366494536154
-19.84239842398424,-393.7207752161322
-19.8419984199842,-393.7049012986555
-19.84159841598416,-393.68902770118507
-19.84119841198412,-393.67315442372114
-19.84079840798408,-393.65728146626367
-19.84039840398404,-393.6414088288124
-19.839998399984,-393.6255365113677
-19.83959839598396,-393.60966451392926
-19.83919839198392,-393.59379283649736
-19.83879838798388,-393.57792147907173
-19.83839838398384,-393.5620504416526
-19.8379983799838,-393.54617972423995
-19.83759837598376,-393.5303093268335
-19.83719837198372,-393.51443924943356
-19.83679836798368,-393.49856949203996
-19.83639836398364,-393.48270005465287
-19.8359983599836,-393.466830937272
-19.83559835598356,-393.4509621398977
-19.83519835198352,-393.4350936625298
